countryName,countryCode,incomeGroup,region,GDP,population,landArea,lifeExpecFem,lifeExpecMale
"Korea, Rep.",KOR,High income,East Asia & Pacific,1482760164322.84,51709098,97445,85.2,79
Kosovo,XKX,Upper middle income,Europe & Central Asia,8006622220.84999,1794248,10887,73.6,69.2
Kuwait,KWT,High income,Middle East & North Africa,137580874017.114,4207083,17820,76.173,74.396
Kyrgyz Republic,KGZ,Lower middle income,Europe & Central Asia,7208211269.05348,6456900,191800,74.8,66.7
Lao PDR,LAO,Lower middle income,East Asia & Pacific,13195413134.6638,7169455,230800,68.331,64.765
Latvia,LVA,High income,Europe & Central Asia,31985858419.1279,1912789,62180,79.5,69.7
Lebanon,LBN,Upper middle income,Middle East & North Africa,39710040166.8404,6855713,10230,80.731,76.967
Lesotho,LSO,Lower middle income,Sub-Saharan Africa,2874585678.5118,2125268,30360,54.266,47.979
Liberia,LBR,Low income,Sub-Saharan Africa,2548948906.87729,4937374,96320,63.688,60.856
Libya,LBY,Upper middle income,Middle East & North Africa,55047620625.1588,6777452,1759540,75.29,69.239
Liechtenstein,LIE,High income,Europe & Central Asia,,38019,160,84.5,80.9
Lithuania,LTU,High income,Europe & Central Asia,51862375194.0999,2786844,62650,79.7,69.2
Luxembourg,LUX,High income,Europe & Central Asia,68847100694.6723,619896,2430,84.7,80
"Macao SAR, China",MAC,High income,East Asia & Pacific,35295253106.9724,640445,30.3999996185303,86.631,80.718
Madagascar,MDG,Low income,Sub-Saharan Africa,13495494373.7937,26969307,581800,67.091,63.999
Malawi,MWI,Low income,Sub-Saharan Africa,9754076227.99889,18628747,94280,65.016,58.898
Malaysia,MYS,Upper middle income,East Asia & Pacific,398946603155.68,31949777,328550,77.663,73.521
Maldives,MDV,Upper middle income,South Asia,4500657090.09943,530953,300,79.49,76.323
Mali,MLI,Low income,Sub-Saharan Africa,15562204139.934,19658031,1220190,58.194,56.818
Malta,MLT,High income,Middle East & North Africa,14564729001.723,502653,320,84.1,79.8
Marshall Islands,MHL,Upper middle income,East Asia & Pacific,,58791,180,,
Mauritania,MRT,Lower middle income,Sub-Saharan Africa,7947658539.42987,4525696,1030700,65.58,62.251
Mauritius,MUS,High income,Sub-Saharan Africa,13786807917.4414,1265711,2030,77.79,71.08
Mexico,MEX,Upper middle income,Latin America & Caribbean,1309881765941.94,127575529,1943950,77.837,71.954
"Micronesia, Fed. Sts.",FSM,Lower middle income,East Asia & Pacific,,113815,700,69.003,65.686
Moldova,MDA,Lower middle income,Europe & Central Asia,9887013489.61243,2657637,32880,75.76,67.208
Monaco,MCO,High income,Europe & Central Asia,,38964,2,,
Mongolia,MNG,Lower middle income,East Asia & Pacific,14037996021.8727,3225167,1553560,73.373,65.103
Montenegro,MNE,Upper middle income,Europe & Central Asia,5343969842.24707,622137,13450,78.899,73.982
Morocco,MAR,Lower middle income,Middle East & North Africa,126272957641.312,36471769,446300,76.963,74.433
Mozambique,MOZ,Low income,Sub-Saharan Africa,17875790908.6586,30366036,786380,59.921,54.295
Myanmar,MMR,Lower middle income,East Asia & Pacific,86931311984.4758,54045420,653080,68.973,62.572
Namibia,NAM,Upper middle income,Sub-Saharan Africa,14383460523.989,2494530,823290,64.866,59.195
Nauru,NRU,High income,East Asia & Pacific,103452831.850612,12581,20,,
Nepal,NPL,Lower middle income,South Asia,24575559443.4574,28608710,143350,70.931,68.114
Netherlands,NLD,High income,Europe & Central Asia,961781942975.725,17332850,33690,83.2,79.9
New Caledonia,NCL,High income,East Asia & Pacific,,287800,18280,80.1659626264641,74.4617710141005
New Zealand,NZL,High income,East Asia & Pacific,191728455432.506,4917000,263310,83.27,79.73
Nicaragua,NIC,Lower middle income,Latin America & Caribbean,11541046299.3281,6545502,120340,77.06,70.201
Niger,NER,Low income,Sub-Saharan Africa,13127408384.9827,23310715,1266700,61.789,59.536
Nigeria,NGA,Lower middle income,Sub-Saharan Africa,477161826016.253,200963599,910770,53.967,52.286
North Macedonia,MKD,Upper middle income,Europe & Central Asia,11719729960.5494,2083459,25220,77.459,73.397
Northern Mariana Islands,MNP,High income,East Asia & Pacific,,57216,460,,
Norway,NOR,High income,Europe & Central Asia,494981582297.864,5347896,365123.0078125,84.2,80.5
Oman,OMN,High income,Middle East & North Africa,75032818560.7415,4974986,309500,79.401,75.133
Pakistan,PAK,Lower middle income,South Asia,256728822531.884,216565318,770880,67.543,65.684
Palau,PLW,High income,East Asia & Pacific,217497826.947039,18008,460,,
Panama,PAN,High income,Latin America & Caribbean,50575748118.1681,4246439,74340,80.994,74.736
Papua New Guinea,PNG,Lower middle income,East Asia & Pacific,21852485468.7968,8776109,452860,64.809,62.215
Paraguay,PRY,Upper middle income,Latin America & Caribbean,37409557615.771,7044636,397300,75.701,71.752
Peru,PER,Upper middle income,Latin America & Caribbean,210883429892.024,32510453,1280000,78.468,73.169
Philippines,PHL,Lower middle income,East Asia & Pacific,360858880823.878,108116615,298170,75.007,66.644
Poland,POL,High income,Europe & Central Asia,660941995821.311,37970874,306190,81.6,73.5
Portugal,PRT,High income,Europe & Central Asia,253228421113.571,10269417,91605.595703125,84.3,78.1
Puerto Rico,PRI,High income,Latin America & Caribbean,88415695429.6952,3193694,8870,83.029,75.853
Qatar,QAT,High income,Middle East & North Africa,179217942561.528,2832067,11610,81.477,78.558
Romania,ROU,High income,Europe & Central Asia,234057305195.069,19356544,230080,78.6,71.4
Russian Federation,RUS,Upper middle income,Europe & Central Asia,1762462643295.84,144373535,16376870,76.71,65.92
Rwanda,RWA,Low income,Sub-Saharan Africa,11380725067.3896,12626950,24670,69.434,65.371
Samoa,WSM,Upper middle income,East Asia & Pacific,762625022.856476,197097,2830,74.911,70.715
San Marino,SMR,High income,Europe & Central Asia,,33860,60,,
Sao Tome and Principe,STP,Lower middle income,Sub-Saharan Africa,277211853.719627,215056,960,71.739,67.045
Saudi Arabia,SAU,High income,Middle East & North Africa,703949827121.995,34268528,2149690,76.264,73.425
Senegal,SEN,Lower middle income,Sub-Saharan Africa,25821124786.0107,16296364,192530,68.634,64.683
Serbia,SRB,Upper middle income,Europe & Central Asia,50213615458.7398,6944975,87460,77.9,72.8
Seychelles,SYC,High income,Sub-Saharan Africa,1469133918.63391,97625,460,78.7,70.1
Sierra Leone,SLE,Low income,Sub-Saharan Africa,3816410757.73498,7813215,72180,53.77,52.068
Singapore,SGP,High income,East Asia & Pacific,335538884575.285,5703569,709.000015258789,85.1,80.5
Sint Maarten (Dutch part),SXM,High income,Latin America & Caribbean,,40733,34,80.6,74
Slovak Republic,SVK,High income,Europe & Central Asia,114530788157.148,5454073,48082.001953125,80.2,73.1
Slovenia,SVN,High income,Europe & Central Asia,57265665047.4963,2087946,20142.6000976563,83.9,77.8
Solomon Islands,SLB,Lower middle income,East Asia & Pacific,1171806612.54175,669823,27990,74.043,70.536
Somalia,SOM,Low income,Sub-Saharan Africa,,15442905,627340,57.605,54.308
South Africa,ZAF,Upper middle income,Sub-Saharan Africa,430166850678.94,58558270,1213090,66.108,59.342
South Sudan,SSD,Low income,Sub-Saharan Africa,,11062113,,58.362,55.386
Spain,ESP,High income,Europe & Central Asia,1572012697558.03,47076781,499661.015625,85.7,80.1
Sri Lanka,LKA,Lower middle income,South Asia,87466701368.6878,21803000,62710,79.689,72.887
St. Kitts and Nevis,KNA,High income,Latin America & Caribbean,913748421.16003,52834,260,,
St. Lucia,LCA,Upper middle income,Latin America & Caribbean,1709223245.1354,182790,610,76.977,74.282
St. Martin (French part),MAF,High income,Latin America & Caribbean,,38002,54.4,82.8,76.3
St. Vincent and the Grenadines,VCT,Upper middle income,Latin America & Caribbean,758962832.149068,110589,390,74.692,69.867
Sudan,SDN,Low income,Sub-Saharan Africa,64784090846.2677,42813238,,66.198,62.693
Suriname,SUR,Upper middle income,Latin America & Caribbean,4678196479.82914,581363,156000,74.584,68.088
Sweden,SWE,High income,Europe & Central Asia,596689588251.79,10285453,407310,84.1,80.4
Switzerland,CHE,High income,Europe & Central Asia,680898749177.178,8574832,39516.0009765625,85.1,80.8
Syrian Arab Republic,SYR,Low income,Middle East & North Africa,,17070135,183630,76.798,64.019
Tajikistan,TJK,Low income,Europe & Central Asia,10450075054.3824,9321018,138790,72.507,67.959
Tanzania,TZA,Lower middle income,Sub-Saharan Africa,55482146264.3125,58005463,885800,65.127,61.082
Thailand,THA,Upper middle income,East Asia & Pacific,452674624298.251,69625582,510890,79.863,72.412
Timor-Leste,TLS,Lower middle income,East Asia & Pacific,1264348739.36825,1293119,14870,70.454,66.582
Togo,TGO,Low income,Sub-Saharan Africa,5625948587.72445,8082366,54390,60.706,59.128
Tonga,TON,Upper middle income,East Asia & Pacific,455079252.29074,104494,720,72.449,68.606
Trinidad and Tobago,TTO,High income,Latin America & Caribbean,21071140165.8582,1394973,5130,75.659,70.299
Tunisia,TUN,Lower middle income,Middle East & North Africa,51515434977.5456,11694719,155360,77.99,73.903
Turkey,TUR,Upper middle income,Europe & Central Asia,1261905557967.35,83429615,769630,79.522,73.47
Turkmenistan,TKM,Upper middle income,Europe & Central Asia,,5942089,469930,71.168,64.282
Turks and Caicos Islands,TCA,High income,Latin America & Caribbean,,38191,950,,
Tuvalu,TUV,Upper middle income,East Asia & Pacific,45924328.5738911,11646,30,,
Uganda,UGA,Low income,Sub-Saharan Africa,42611043087.0449,44269594,200520,63.303,59.318
Ukraine,UKR,Lower middle income,Europe & Central Asia,135536959161.566,44385155,579290,76.25,66.37
United Arab Emirates,ARE,High income,Middle East & North Africa,404700030656.58,9770529,71020,78.678,76.605
United Kingdom,GBR,High income,Europe & Central Asia,2921446026408.24,66834405,241930,82.8,79.2
United States,USA,High income,North America,18300385513295.6,328239523,9147420,81.2,76.3
Uruguay,URY,High income,Latin America & Caribbean,50531997748.8587,3461734,175020,80.992,73.529
Uzbekistan,UZB,Lower middle income,Europe & Central Asia,82574625978.6571,33580650,425400,73.145,68.712
Vanuatu,VUT,Lower middle income,East Asia & Pacific,865850906.762071,299882,12190,71.522,68.383
"Venezuela, RB",VEN,Upper middle income,Latin America & Caribbean,,28515829,882050,76.531,68.871
Vietnam,VNM,Lower middle income,East Asia & Pacific,200857611961.483,96462106,310070,79.226,70.984
Virgin Islands (U.S.),VIR,High income,Latin America & Caribbean,,106631,350,82.6,75.9
West Bank and Gaza,PSE,Lower middle income,Middle East & North Africa,13771659441.9981,4685306,6020,75.178,71.785
"Yemen, Rep.",YEM,Low income,Middle East & North Africa,18415400223.2268,29161922,527970,67.789,64.419
Zambia,ZMB,Lower middle income,Sub-Saharan Africa,29539096537.4914,17861030,743390,64.297,59.105
Zimbabwe,ZWE,Lower middle income,Sub-Saharan Africa,17327035948.4306,14645468,386850,60.984,57.778
